船 长 	captain
他 们 说 共 和 国 首 相 的 两 位 特 使 不 在 那 里 ?	negotiations have n't started because the ambassadors are n't there ?
这 怎 么 可 能 ?	how could that be true ?
我 从 首 相 那 里 得 到 消 息 是 ： 特 使 们 已 经 到 了 	i have assurances from the chancellor his ambassadors did arrive
一 定 是 ... 谈 判 ...	it must ... handiwork ...
特 使 们 ... 后 果 ...	negotiate ... ambassadors ...
没 有 人 可 以 ...	nobody would ...
帕 尔 帕 庭 议 员 	senator palpatine
怎 么 回 事 ?	what 's happening ?
检 查 一 下 通 讯 发 射 器 	check the transmission generator
通 讯 中 断 表 明 贸 易 联 盟 已 经 ... 入 侵 了 	a communications disruption can mean only one thing : invasion
联 盟 现 在 还 不 敢 这 样 	the federation would not dare go that far
国 会 有 权 撤 消 他 贸 易 的 特 权 那 样 他 们 就 完 了 	the senate would revoke their trade franchise , and they 'd be finished
我 们 必 须 继 续 进 行 谈 判 	we must continue to rely on negotiation
谈 判 ?	negotiation ?
通 讯 完 全 中 断 了 	we 've lost all communications
又 不 知 道 特 使 在 什 么 地 方 ?	and where are the chancellor 's ambassadors ?
情 况 非 常 危 险 女 王 陛 下 	this is a dangerous situation , your highness
我 们 的 保 安 志 愿 军 兵 力 有 限 ... 抵 挡 不 住 贸 易 联 盟 的 庞 大 军 队 	our security volunteers will be no match ... against a battle hardened federation army
我 绝 不 允 许 任 何 导 致 战 争 的 行 为 	i will not condone a course of action that will lead us to war
遵 命 总 督 ?	yes , viceroy ?
我 们 搜 查 了 整 个 战 舰 ... 没 有 发 现 绝 地 武 士 的 踪 迹 	captain , we 've searched the ship and there is no trace of the jedi
他 们 也 许 藏 在 那 艘 登 陆 艇 上 	they may have gotten on one of your landing craft
如 果 他 们 真 的 在 这 我 们 会 找 到 的 	if they 're down here , sir , we 'll find them
多 加 小 心 不 要 低 估 了 这 两 个 绝 地 武 士 	use caution . these jedi are not to be underestimated
哦 不 	oh , no ! -- get away !
走 开 离 开 这 儿 	get out of here !
趴 下 	get down !
是 什 么 东 西 ?	was 'n dat ? hey , wait !
我 爱 你 	oh , mooie mooie , i love you
你 差 点 送 了 我 们 的 命 你 没 脑 筋 吗 ?	you almost got us killed . are you brainless ?
我 会 说 话 啊 	i spake
会 说 话 不 证 明 你 就 有 头 脑 	the ability to speak does not make you intelligent
好 了 快 走 吧 	now , get out of here
不 不 我 得 留 下 	no , no , mesa stay
我 叫 加 加 宾 可 斯 你 卑 微 的 仆 人 	mesa culled jar jar binks . mesa your humble servant
我 不 需 要 仆 人 	that wo n't be necessary
你 得 需 要 	oh , but it 'tis
这 是 神 的 旨 意 	'tis demanded by the gods , it 'tis
哦 不 	oh , no !
快 趴 下 	stay down !
你 又 救 了 我 一 命 	you saved my again
他 是 谁 ?	what 's this ?
一 个 当 地 人 	a local
还 会 有 机 械 人 来 的 快 走 还 有 ?	let 's get out of here before more droids show up
还 有 ? 你 是 说 还 有 机 械 人 要 来 ?	more ? " more " did you spake ?
抱 歉 但 最 安 全 的 地 方 是 冈 根 城 	ex-squeeze me , but de mostest safest place would be gunga city
我 是 在 那 里 长 大 的 那 城 市 很 隐 蔽 	is where i grew up . 'tis a hidden city
城 市 ?	a city ? -- uh-huh
是 你 来 带 我 们 去 吧 	can you take us there ?
那 ... 那 可 不 行 	on second thought , no
我 不 能 带 你 们 去 	not really , no
为 什 么 ?	no ?
说 起 来 不 好 意 思 ... 我 是 被 流 放 出 来 的 	'tis embarrassing ... but my afraid my 've been banished
我 刚 才 忘 了 首 领 不 会 轻 饶 了 我 的 	my forgotten . da bosses would do terrible tings to me
我 要 是 回 去 了 就 饶 不 了 我 的 	terrible tings to me if me goen back dare
你 听 到 了 吗 ?	you hear that ?
听 到 了 	yah
这 么 大 批 的 机 器 人 朝 着 这 个 方 向 杀 来 	that is the sound of a thousand terrible things heading this way
如 果 让 他 们 发 现 了 我 们 可 就 ... 粉 身 粹 骨 了 到 时 候 我 们 连 渣 都 没 有 了 	if they find us , they will crush us ... grind us into tiny pieces and blast us into oblivion
哦 你 说 的 一 点 不 错 	yousa point is well seen
这 边 走 快 	dis way . hurry !
还 有 多 远 ?	how much further ?
下 面 的 路 我 们 得 从 水 下 走 	wesa goen underwater , okeyday ?
我 警 告 你 们 	ah , my warning you
冈 根 人 不 喜 欢 外 来 人 别 希 望 他 们 会 欢 迎 你 们 	gungans no liken outsiders , so do n't spect a warm welcome
没 关 系 今 天 不 光 是 他 们 不 欢 迎 我 们 	do n't worry . this has n't been our day for warm welcomes
好 了 你 们 跟 我 来 	yousa follow me now , okeyday ?
回 家 的 感 觉 真 好 啊 	so good being home !
你 们 几 个 都 站 住 	hey , yousa . stopa dare
你 好 塔 布 斯 队 长 	heyo-dales , cap 'n tarpals
我 回 来 了 	mesa back
你 还 敢 回 来 加 加 去 见 首 领 嘛 	noah gain , jar jar . yousa goen tada bosses
这 次 你 的 麻 烦 可 大 了 	yousa in big dudu dis time
真 粗 鲁 	how wude
你 们 不 能 留 在 这 里 	yousa cannot bees hair
那 些 机 械 人 部 队 是 你 们 招 惹 来 的 我 说 的 没 错 吧 	dis army of mackineeks up dare is new weesong
这 些 机 械 人 部 队 马 上 就 要 进 攻 纳 布 城 了 我 们 必 须 通 知 他 们 	a droid army is about to attack the naboo . we must warn them
我 们 不 喜 欢 纳 布 城 的 人 	wesa no like da naboo
让 他 们 自 以 为 自 己 聪 明 	da naboo tink day so smarty
总 觉 得 自 己 的 脑 子 比 我 们 的 好 用 	day tink day brains so big
机 械 人 一 旦 控 制 了 纳 布 城 也 就 会 控 制 了 你 们 	once those droids take control of the surface , they will take control of you
. 我 觉 得 不 会 的 	mesa no tink so
你 根 本 就 不 知 道 我 们 	day not know of uss-en
你 们 和 纳 布 人 是 共 生 关 系 	you and the naboo form a symbiont circle
一 方 所 受 的 灾 难 会 影 响 另 一 方 	what happens to one of you will affect the other
你 必 须 明 白 	you must understand this
纳 布 人 是 死 是 活 跟 我 没 有 关 系 	wesa no carrrre-nn about da naboo
那 就 赶 快 让 我 们 走 吧 	then speed us on our way
要 滚 那 就 快 滚 吧 	wesa ganna speed yous away
可 现 在 我 们 缺 少 交 通 工 具 	we could use a transport
我 们 会 给 你 们 一 艘 邦 高 	wesa give yousa una bongo
到 纳 布 城 最 快 的 途 径 是 从 行 星 的 地 心 穿 过 去 	da speediest way tooda naboo ... 'tis goen through the planet core
好 了 ... 走 吧 	now ... go
感 谢 你 的 帮 助 我 们 会 和 平 的 离 去 	thank you for your help . we leave in peace
师 父 邦 高 是 什 么 东 西 ?	master , what 's a bongo ?
但 愿 是 一 座 飞 船 	a transport , i hope
他 是 在 耍 你 们 	deysa setten yousa up
从 地 心 穿 过 去 ?	goen through da planet core ?
那 是 会 要 人 命 的 	bad bombin'
学 雷 锋 做 好 事 嘛 	any help here would be hot
师 父 我 们 时 间 不 多 了 	master , we 're short on time
我 们 需 要 一 位 领 航 员 才 能 穿 过 地 心 	we 'll need a navigator to get us through the planet 's core
这 个 冈 根 人 也 许 能 帮 助 我 们 	this gungan may be of help
能 不 能 告 诉 我 们 你 们 要 把 加 加 怎 么 样 ?	what is to become of jar jar binks here ?
严 厉 惩 罚 	hisen to be pune-ished
我 救 过 他 的 命 	i saved his life
所 以 他 也 欠 我 一 条 命 	he owes me what you call a " life debt . "
依 你 们 神 的 旨 意 他 的 命 应 该 是 属 于 我 的 	your gods demand that his life belongs to me now
宾 可 斯 ... 你 真 的 欠 他 一 条 命 吗 ?	binks ... yousa havena liveplay with thisen hisen ?
那 你 跟 他 去 吧 	begone wit him !
我 还 是 不 要 跟 你 去 了 吧 	count me outta dis one
我 宁 可 死 在 这 也 不 愿 死 在 地 心 里 	better dead here than dead in da core
天 哪 我 在 说 些 什 么 ?	yee gods ! what mesa sayin ?
真 是 疯 了 是 恐 怖 鱼 	dis is nutsen . oh , gooberfish !
你 为 什 么 被 流 放 了 加 加 ?	why were you banished , jar jar ?
说 来 话 长 了 ... 归 根 到 底 应 该 是 ... 我 太 笨 了 吧 	it 's a longo tale-o ... buta a small part of it would be mesa ... clumsy
因 为 笨 就 把 你 流 放 吗 ?	you were banished for being clumsy ?
也 可 以 这 么 说 吧 	yousa might 'n be sayin dat
我 这 个 人 太 粗 心 以 前 出 过 一 两 个 小 事 故 	mesa caused mabee one two-y lettle bitty axadentes , huh ?
爆 掉 一 个 油 库 ... 不 小 心 把 首 领 的 船 撞 烂 了 就 被 流 放 了 	yud-say boom da gasser ... den crashing der boss 's heyblibber , den banished
大 恐 怖 鱼 好 大 的 牙 齿 	big gooberfish ! huge-o teeth !
总 是 大 鱼 吃 小 鱼 	there 's always a bigger fish
我 认 为 咱 们 还 是 回 去 吧 	mesa tink we goen back now
入 侵 行 动 按 时 进 行 大 人 	the invasion is on schedule , my lord
我 一 直 拖 延 了 国 会 的 议 程 	i have the senate bogged down in procedures
他 们 别 无 选 择 只 有 接 受 你 对 纳 布 城 的 控 制 	they will have no choice but to accept your control of the system
可 是 艾 米 达 拉 女 王 坚 持 国 会 会 站 在 她 那 边 	the queen has great faith that the senate will side with her
那 位 阿 米 达 拉 女 王 年 轻 又 幼 稚 	queen amidala is young and naive
控 制 着 她 不 会 是 一 件 困 难 的 事 	you will find controlling her will not be difficult
是 大 人 	yes , my lord
你 没 跟 他 提 那 两 个 失 踪 的 绝 地 武 士 	you did n't tell him about the missing jedi
没 必 要 向 他 报 告 直 到 我 们 需 要 报 告 再 说 	no need to report that to him until we have something to report
我 们 这 要 去 哪 儿 ?	where wesa goin ? -- do n't worry
别 担 心 原 力 会 指 引 我 们 	the force will guide us
嘿 好 厉 害 的 原 力 	oh , maxi big , da force
我 可 不 相 信 什 么 原 力 	well , dat smells stinkowiff
失 去 动 力 了 	we 're losing power
哦 不 	oh , no !
那 我 们 死 定 了 	wesa dyin' here
别 紧 张 情 况 没 那 么 严 重 	just relax . we 're not in trouble yet
还 没 什 么 ?	what " yet " ?
外 面 是 怪 物 船 又 漏 水 	monsters out dare . leak 'n in here
就 快 要 沉 了 又 没 有 动 力 ?	all sink 'n and no power ?
都 这 样 了 还 不 算 严 重 吗 ?	whena yousa tinkin wesa in trouble ?
动 力 恢 复 了 	power 's back
怪 物 回 来 了 	monster 's back !
别 紧 张 	relax
你 把 它 吓 到 了 	you overdid it
恐 怖 去 那 边 	head for that outcropping
哦 孩 子 	oh , boy
总 督 我 们 抓 到 女 王 了 	viceroy , we have captured the queen
哈 胜 利 了 	ah , victory
这 真 漂 亮 呀 	dis 'n loverly
对 此 你 怎 么 向 国 会 作 出 解 释 ?	how will you explain this invasion to the senate ?
我 要 女 王 和 我 签 署 一 个 协 议 使 我 们 在 这 里 的 行 动 合 法 化 	the queen and i will sign a treaty that will legitimize our occupation here
我 相 信 国 会 一 定 会 同 意 我 这 么 做 的 	i have assurances it will be ratified by the senate
我 是 不 会 合 作 的 	i will not cooperate
行 了 女 王 陛 下 	now , now , your highness
到 那 时 你 人 民 蒙 受 苦 难 这 将 会 劝 说 你 答 应 我 们 的 意 见 	in time , your people 's suffering will persuade you to see our point of view
指 挥 官 	commander
是 长 官 	yes , sir
把 他 们 带 走 	process them
上 尉 把 他 们 关 到 四 号 监 狱 里 	captain , take them to camp 4
收 到 收 到 	roger , roger
我 们 得 离 开 街 道 女 王 陛 下 	we should leave the street , your highness
拿 他 们 的 武 器 	get their weapons
你 们 真 够 棒 的 	yousa guys bombad !
我 们 是 最 高 议 会 的 特 使 	we 're ambassadors for the supreme chancellor
看 来 你 们 的 谈 判 失 败 了 先 生 	your negotiations seemed to have failed , ambassador
根 本 没 有 开 始 谈 	the negotiations never took place
我 们 必 须 和 共 和 国 取 得 联 系 	it 's urgent that we make contact with the republic
通 讯 全 都 被 他 们 切 断 了 	they 've knocked out all our communications
你 们 有 飞 船 吗 ?	do you have transports ?
总 机 库 里 有 那 边 走 	in the main hangar . this way
他 们 人 太 多 了 	there are too many of them
别 担 心 没 问 题 	that wo n't be a problem
女 王 陛 下 在 这 种 情 况 下 我 建 议 请 你 跟 我 们 到 科 罗 斯 肯 特 星 球 去 	your highness , under the circumstances , i suggest you come to coruscant with us
谢 谢 特 使 先 生 我 要 和 我 的 人 民 在 一 起 	thank you , ambassador , but my place is with my people
他 们 会 杀 死 你 的 	they will kill you if you stay
他 们 不 敢 	they would n't dare
他 们 需 要 女 王 签 署 入 侵 合 法 化 	they need her to sign a treaty to make this invasion legal
所 以 不 会 杀 死 她 的 	they ca n't afford to kill her
我 看 他 们 在 背 后 另 有 阴 谋 女 王 陛 下 	there is something else behind all this , your highness
我 看 他 们 另 有 阴 谋 入 侵 行 动 不 合 逻 辑 	there 's no logic in the federation 's move here
我 觉 得 他 们 是 要 除 掉 你 们 	my feelings tell me they will destroy you
我 们 只 能 期 盼 国 会 站 在 我 们 一 边 	our only hope is for the senate to side with us
帕 尔 帕 庭 议 员 会 需 要 你 们 的 帮 助 	senator palpatine will need your help
不 管 怎 样 我 们 的 处 境 都 很 危 险 	either choice presents great danger ... to us all
我 们 都 会 勇 敢 女 王 陛 下 	we are brave , your highness
如 果 要 走 女 王 陛 下 现 在 就 得 走 	if you are to leave , your highness , it must be now
我 会 向 国 会 请 求 的 	then i will plead our case to the senate
多 加 小 心 总 督 	be careful , governor
我 们 得 拯 救 那 些 飞 行 员 	we 'll need to free those pilots
让 我 来 吧 	i 'll deal with that
站 住 	halt
我 是 首 相 的 特 使 	i 'm ambassador to the supreme chancellor
我 正 在 和 这 些 科 罗 斯 肯 特 人 交 谈 	i 'm taking these people to coruscant
你 们 要 去 哪 ?	where are you taking them ?
去 科 罗 斯 肯 特 	to coruscant
科 罗 斯 肯 特 ?	coruscant ?
这 名 字 无 法 验 测 	uh , that does n't compute
嘿 等 等 你 们 被 捕 了 	uh , wait . uh , you 're under arrest
快 走 	come on . move !
走 	go !
你 就 待 在 这 儿 不 要 惹 麻 烦 	now , stay here and keep out of trouble
你 们 好 啊 夥 计 们 	hello , boyos
是 联 盟 的 战 舰 	there 's the blockade
防 护 罩 起 动 器 被 击 中 了 	the shield generator 's been hit !
真 粗 鲁 	how wude !
我 们 的 机 械 人 损 失 惨 重 	we 're losing droids fast
没 有 防 护 罩 我 们 就 成 了 活 靶 子 了 	if we ca n't get the shield generator fixed , we 'll be sitting ducks
防 护 罩 没 了 	the shields are gone
现 在 恢 复 了 	the power 's back !
那 个 小 机 器 人 修 复 了 主 动 力 引 擎 	that little droid did it . he bypassed the main power drive
防 护 罩 调 到 最 大 	deflector shields up at maximum
我 们 到 不 了 科 罗 斯 肯 特 了 	there 's not enough power to get us to coruscant
超 光 速 引 擎 在 漏 油 	the hyperdrive is leaking
我 们 先 找 个 地 方 着 陆 修 补 飞 船 再 加 防 护 	we 'll have to land somewhere to refuel and repair the ship
这 儿 师 父 塔 图 因 	here , master . tatooine
这 里 离 航 道 非 常 远 	it 's small , out of the way , poor
不 太 可 能 有 贸 易 联 盟 的 人 	the trade federation have no presence there
你 怎 么 这 样 肯 定 ?	how can you be sure ?
这 是 赫 特 人 的 地 盘 	it 's controlled by the hutts
在 那 儿 你 不 能 抓 他 们 的 女 王 殿 下 赫 特 人 都 是 匪 徒 	you ca n't take her royal highness there . the hutts are gangsters
如 果 他 们 发 现 她 ...	if they discovered her ...
那 跟 ... 在 贸 易 联 盟 控 制 的 星 球 没 什 么 两 样 ... 除 非 赫 特 人 没 想 要 抓 她 ...	it'd be no different than landing ... on a system controlled by the federation ... except that the hutts are n't looking for her ... which gives us the advantage
阿 米 达 拉 女 王 在 协 议 上 签 字 了 吗 ?	and queen amidala , has she signed the treaty ?
她 逃 跑 了 大 人 	she has disappeared , my lord
你 说 纳 布 星 的 飞 船 通 过 我 们 的 封 锁 线 ?	one naboo cruiser got past the blockade
我 要 她 签 协 议 	i want that treaty signed
大 人 可 是 我 们 现 在 找 不 到 那 些 飞 船 	my lord ... it 's impossible to locate the ship
它 飞 出 了 我 们 的 探 侧 范 围 	it 's out of our range
西 斯 人 可 以 	not for a sith
这 是 我 的 徒 弟 	this is my apprentice ...
达 斯 摩 尔 	darth maul
他 会 帮 助 你 找 那 艘 飞 船 的 	he will find your lost ship
现 在 更 麻 烦 了 	this is getting out of hand
又 来 了 一 个 君 主 	now there are two of them
我 们 不 听 他 的 就 好 了 	we should not have made this bargain
多 亏 了 这 个 精 巧 的 机 器 人 女 王 陛 下 	an extremely well put together little droid , your highness
它 救 了 飞 船 也 救 了 我 们 大 家 的 命 	without a doubt , it saved the ship , as well as our lives
我 要 奖 赏 他 他 的 号 码 是 多 少 ?	it is to be commended . what is its number ?
是 R2D2 女 王 陛 下 	r2-d2 , your highness
谢 谢 你 R2D2	thank you , r2-d2
帕 德 梅 	padmé
好 好 给 他 清 洗 一 下 	clean this droid up as best you can
我 们 应 该 感 谢 他 	it deserves our gratitude
接 着 说 吧 船 长 	continue , captain
女 王 陛 下 请 允 许 ... 我 们 现 在 正 飞 往 一 个 叫 塔 普 尼 的 遥 远 的 星 球 	your highness , with your permission ... we 're heading for a remote planet called tatooine
那 是 贸 易 联 盟 势 力 之 外 的 星 球 	it 's in a system far beyond the reach of the trade federation
可 我 不 同 意 到 那 个 星 球 去 	i do not agree with the jedi on this
请 相 信 我 的 判 断 女 王 陛 下 	you must trust my judgment , your highness
你 好 	hello
对 不 起 能 问 问 你 是 谁 吗 ?	sorry . husa are yousa ?
我 叫 帕 德 梅 	i 'm padmé
我 叫 加 加 宾 可 斯 	mesa jar jar binks
你 是 冈 根 人 ?	you 're a gungan , are n't you ?
那 你 怎 么 跑 到 这 儿 来 了 ?	how 'd you end up here with us ?
我 也 不 知 道 	my no know
今 天 早 晨 我 正 高 高 兴 兴 的 吃 早 饭 	mesa day starten pitty okeyday witda brisky morning munchen
突 然 砰 的 一 声 吓 坏 我 了 	den boom !
那 个 绝 地 武 士 就 救 了 我 一 命 	getten berry scared ... and grabben dat jedi , and pow ... mesa here
你 知 道 吗 ? 我 非 常 非 常 害 怕 	mesa getten berry , berry scared
那 就 是 ...	that 's it ... tatooine
塔 图 因 星 球 - 那 是 一 个 市 镇 	there 's a settlement
着 陆 时 离 市 镇 远 一 点 不 要 引 起 人 们 的 注 意 	land near the outskirts . we do n't want to attract attention
超 光 速 已 经 失 灵 了 得 换 个 新 的 	the hyperdrive generator 's gone , master . we 'll need a new one
情 况 很 棘 手 要 小 心 	that 'll complicate things . be wary
我 感 到 原 力 受 到 干 扰 了 	i sense a disturbance in the force
我 也 感 觉 到 了 师 父 	i feel it also , master
要 他 们 别 再 传 输 信 息 了 	do n't let them send any transmissions
噢 这 太 阳 真 的 是 死 人 了 	the sun doen murder to mesa skin
等 一 下 	wait !
等 一 下 	wait
女 王 陛 下 命 令 你 们 带 上 她 的 女 仆 	her highness commands you to take her handmaiden with you
女 王 今 天 就 别 再 发 布 命 令 了 船 长 	no more commands from her highness today , captain
这 个 太 空 站 很 危 险 	the spaceport is not going to be pleasant
这 是 女 王 的 意 思 	the queen wishes it
她 对 这 个 星 球 很 好 奇 	she 's curious about the planet
真 拿 她 没 办 法 不 要 离 我 太 远 	this is not a good idea . stay close to me
湿 气 农 场 是 主 要 部 分 	moisture farms , for the most part
住 的 一 些 本 土 部 落 和 一 些 外 来 定 居 的 人 	some indigenous tribes and scavengers
像 这 种 偏 远 的 太 空 站 ... 是 那 些 不 希 望 被 找 到 人 的 天 堂 	the few spaceports like this one ... are havens for those that do n't wish to be found
就 像 我 们 	like us
这 也 太 糟 糕 了 	dissen berry , berry bad
这 什 么 破 路 啊 	icky , icky goo !
去 一 家 小 一 点 的 店 	we 'll try one of the smaller dealers
你 们 好 啊 	good day to you
想 买 点 什 么 ?	what do you want ?
有 没 有 J 型 327 雷 比 亚 飞 船 的 零 件 	i need parts for a j-type 327 nubian
有 雷 比 亚 有 的 是 	ah , yes ! nubian . we have lots of that
孩 子 起 来 吧 	boy , get in here now !
我 的 机 械 人 有 我 所 需 要 的 零 件 清 单 	my droid has a readout of what i need
怎 么 耽 搁 这 么 久 啊 ?	what took you so long ?
我 在 擦 风 扇 的 开 关 	i was cleaning the fan switches
看 着 铺 子 我 有 笔 生 意 要 做 	watch the store . i 've got some selling to do
先 生 咱 们 到 后 面 去 吧 ?	so , let me take thee out back , huh ?
那 儿 有 你 需 要 的 东 西 	we 'll find what you need
什 么 也 不 要 碰 	do n't touch anything
你 是 个 天 使 吗 ?	are you an angel ?
什 么 ?	what ?
天 使 我 听 外 太 空 飞 行 员 说 起 过 天 使 	an angel . i heard the deep space pilots talk about them
他 们 是 宇 宙 中 最 漂 亮 的 动 物 	they 're the most beautiful creatures in the universe
他 们 住 在 伊 国 月 球 上 我 想 是 的 	they live on the moons of iego , i think
你 这 个 孩 子 真 有 意 思 你 怎 么 知 道 那 么 多 ?	you 're a funny little boy . how do you know so much ?
我 是 听 路 过 这 的 商 贩 和 星 际 飞 行 员 说 的 	i listen to all the traders and star pilots who come through here
我 是 飞 行 员 你 知 道 吗 总 有 一 天 我 会 飞 出 这 个 地 方 的 	i 'm a pilot , you know , and someday i 'm gonna fly away from this place
你 是 飞 行 员 ?	you 're a pilot ?
